userID,s0axmean,s0axstd,s0axmedian,s0axMAX,s0axMIN,s0axIQR,s0axrms,s0axMAD,s0axMAA,s0aymean,s0aystd,s0aymedian,s0ayMAX,s0ayMIN,s0ayIQR,s0ayrms,s0ayMAD,s0ayMAA,s0azmean,s0azstd,s0azmedian,s0azMAX,s0azMIN,s0azIQR,s0azrms,s0azMAD,s0azMAA,s1axmean,s1axstd,s1axmedian,s1axMAX,s1axMIN,s1axIQR,s1axrms,s1axMAD,s1axMAA,s1aymean,s1aystd,s1aymedian,s1ayMAX,s1ayMIN,s1ayIQR,s1ayrms,s1ayMAD,s1ayMAA,s1azmean,s1azstd,s1azmedian,s1azMAX,s1azMIN,s1azIQR,s1azrms,s1azMAD,s1azMAA,s2axmean,s2axstd,s2axmedian,s2axMAX,s2axMIN,s2axIQR,s2axrms,s2axMAD,s2axMAA,s2aymean,s2aystd,s2aymedian,s2ayMAX,s2ayMIN,s2ayIQR,s2ayrms,s2ayMAD,s2ayMAA,s2azmean,s2azstd,s2azmedian,s2azMAX,s2azMIN,s2azIQR,s2azrms,s2azMAD,s2azMAA,s0_mag_Bin1,s0_mag_Bin2,s0_mag_Bin3,s0_mag_Bin4,s0_mag_ Bin5,s0_mag_Bin6,s0_mag_Bin7,s0_mag_Bin8,s0_mag_Bin9,s0_mag_Bin10,s0_mag_Bin11,s0_mag_Bin12,s0_mag_Bin13,s0_mag_Bin14,s0_mag_Bin15,s0_mag_Bin16,s0_mag_Bin17,s0_mag_ Bin18,s0_mag_Bin19,s0_mag_Bin20,s1_mag_Bin1,s1_mag_Bin2,s1_mag_Bin3,s1_mag_Bin4,s1_mag_ Bin5,s1_mag_Bin6,s1_mag_Bin7,s1_mag_Bin8,s1_mag_Bin9,s1_mag_Bin10,s1_mag_Bin11,s1_mag_Bin12,s1_mag_Bin13,s1_mag_Bin14,s1_mag_Bin15,s1_mag_Bin16,s1_mag_Bin17,s1_mag_ Bin18,s1_mag_Bin19,s1_mag_Bin20,s2_mag_Bin1,s2_mag_Bin2,s2_mag_Bin3,s2_mag_Bin4,s2_mag_ Bin5,s2_mag_Bin6,s2_mag_Bin7,s2_mag_Bin8,s2_mag_Bin9,s2_mag_Bin10,s2_mag_Bin11,s2_mag_Bin12,s2_mag_Bin13,s2_mag_Bin14,s2_mag_Bin15,s2_mag_Bin16,s2_mag_Bin17,s2_mag_ Bin18,s2_mag_Bin19,s2_mag_Bin20,s0az_Bin1,s0az_Bin2,s0az_Bin3,s0az_Bin4,s0az_ Bin5,s0az_Bin6,s0az_Bin7,s0az_Bin8,s0az_Bin9,s0az_Bin10,s0az_Bin11,s0az_Bin12,s0az_Bin13,s0az_Bin14,s0az_Bin15,s0az_Bin16,s0az_Bin17,s0az_ Bin18,s0az_Bin19,s0az_Bin20,s1ax_Bin1,s1ax_Bin2,s1ax_Bin3,s1ax_Bin4,s1ax_ Bin5,s1ax_Bin6,s1ax_Bin7,s1ax_Bin8,s1ax_Bin9,s1ax_Bin10,s1ax_Bin11,s1ax_Bin12,s1ax_Bin13,s1ax_Bin14,s1ax_Bin15,s1ax_Bin16,s1ax_Bin17,s1ax_ Bin18,s1ax_Bin19,s1ax_Bin20,s2ax_Bin1,s2ax_Bin2,s2ax_Bin3,s2ax_Bin4,s2ax_ Bin5,s2ax_Bin6,s2ax_Bin7,s2ax_Bin8,s2ax_Bin9,s2ax_Bin10,s2ax_Bin11,s2ax_Bin12,s2ax_Bin13,s2ax_Bin14,s2ax_Bin15,s2ax_Bin16,s2ax_Bin17,s2ax_ Bin18,s2ax_Bin19,s2ax_Bin20,label
6,0.499266,0.000353,0.499231,0.500179,0.498591,0.000427,0.499266,0.000271,0.000214,0.500018,0.000411,0.500096,0.500645,0.498997,0.000542,0.500018,0.000339,0.000336,0.375025,0.00053,0.375038,0.376,0.373648,0.000672,0.375025,0.000428,0.000336,0.374755,0.000377,0.374832,0.375534,0.373793,0.00042,0.374755,0.000291,0.000198,0.500093,0.000384,0.500142,0.500783,0.499348,0.000557,0.500093,0.000317,0.00026,0.500681,0.000574,0.500748,0.501634,0.499251,0.000818,0.500681,0.00046,0.000428,0.374929,0.000366,0.374878,0.375611,0.374114,0.000519,0.374929,0.000296,0.00023,0.500025,0.000391,0.499985,0.50081,0.499222,0.000482,0.500025,0.000315,0.000275,0.500973,0.000513,0.500986,0.502055,0.499764,0.000702,0.500973,0.000418,0.000397,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lhnhm
6,0.499389,0.000393,0.499399,0.500361,0.498499,0.00049,0.499389,0.000314,0.000244,0.500014,0.000295,0.500005,0.500645,0.499455,0.000404,0.500014,0.000233,0.000198,0.375105,0.000564,0.375144,0.376611,0.373587,0.000894,0.375105,0.000448,0.000398,0.37488,0.000488,0.374939,0.375809,0.373793,0.000587,0.37488,0.00039,0.00029,0.500041,0.000522,0.500051,0.501089,0.498463,0.000557,0.500042,0.000399,0.000335,0.500743,0.000514,0.500733,0.502,0.499466,0.000741,0.500744,0.000403,0.000336,0.374809,0.000463,0.374908,0.376161,0.373839,0.00071,0.374809,0.000377,0.00032,0.499889,0.000426,0.499893,0.500749,0.498611,0.000473,0.499889,0.000318,0.000276,0.500825,0.000513,0.500833,0.502024,0.499672,0.000763,0.500826,0.000405,0.000381,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lhnhm
6,0.499401,0.000343,0.499399,0.500087,0.498712,0.000383,0.499401,0.000269,0.000199,0.500023,0.000407,0.499974,0.500921,0.499425,0.000542,0.500023,0.000328,0.00029,0.37508,0.000729,0.375098,0.377069,0.373679,0.001114,0.37508,0.000584,0.000565,0.374934,0.000395,0.375,0.375992,0.374159,0.000587,0.374934,0.000335,0.000321,0.500056,0.000416,0.50002,0.501151,0.499379,0.00058,0.500056,0.000352,0.00029,0.500597,0.000581,0.500626,0.50258,0.499619,0.000816,0.500597,0.000453,0.000397,0.374845,0.000463,0.374878,0.375946,0.373717,0.000572,0.374845,0.000373,0.000366,0.499915,0.000475,0.499878,0.501115,0.498916,0.00042,0.499916,0.000353,0.00023,0.500936,0.00056,0.500909,0.502147,0.499733,0.000732,0.500937,0.000456,0.000351,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lhnhm
6,0.499366,0.000343,0.499369,0.500026,0.498591,0.000436,0.499366,0.000273,0.000229,0.500119,0.000367,0.50008,0.501074,0.499302,0.000458,0.500119,0.000291,0.00026,0.375106,0.000578,0.375129,0.376427,0.37374,0.000642,0.375106,0.000438,0.000305,0.374752,0.000371,0.374679,0.375504,0.374159,0.000619,0.374752,0.000323,0.000305,0.500088,0.000357,0.500112,0.500661,0.499256,0.00055,0.500088,0.000298,0.000275,0.500656,0.000692,0.500717,0.501969,0.499374,0.000992,0.500656,0.000569,0.000504,0.374908,0.000396,0.374923,0.375642,0.374084,0.000557,0.374908,0.000319,0.000275,0.499963,0.000408,0.499908,0.500687,0.49913,0.000542,0.499964,0.000331,0.000275,0.500874,0.000501,0.500894,0.501963,0.499978,0.000709,0.500874,0.000411,0.000335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lhnhm
6,0.499326,0.000361,0.499323,0.500453,0.498681,0.000351,0.499326,0.000278,0.000182,0.500049,0.00043,0.50005,0.501013,0.498936,0.000573,0.500049,0.000334,0.000305,0.375185,0.00058,0.375221,0.37655,0.373893,0.000726,0.375185,0.000461,0.000367,0.3749,0.000429,0.374832,0.375778,0.374159,0.000626,0.3749,0.000366,0.000305,0.500065,0.000426,0.500051,0.501455,0.499195,0.000351,0.500065,0.000307,0.000214,0.500527,0.000645,0.500489,0.501756,0.499251,0.000855,0.500527,0.00053,0.000412,0.374837,0.000431,0.374862,0.375702,0.373962,0.000526,0.374837,0.000353,0.00029,0.500005,0.000383,0.5,0.500901,0.499222,0.000527,0.500006,0.000302,0.00026,0.500837,0.000502,0.500864,0.501749,0.49952,0.00068,0.500837,0.00041,0.000351,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lhnhm
6,0.499379,0.000333,0.499399,0.500117,0.498834,0.000467,0.499379,0.000273,0.00023,0.500035,0.000319,0.500005,0.500676,0.499333,0.000458,0.500035,0.000269,0.00023,0.37497,0.000719,0.374931,0.376458,0.373343,0.000871,0.37497,0.000571,0.000489,0.374889,0.000388,0.374847,0.375718,0.374069,0.000427,0.374889,0.000301,0.000214,0.499965,0.000448,0.499929,0.500906,0.499013,0.00042,0.499965,0.000351,0.000214,0.500473,0.000645,0.50058,0.502122,0.498763,0.000694,0.500473,0.000497,0.000351,0.374873,0.000427,0.374908,0.375702,0.373962,0.000534,0.374873,0.000344,0.000305,0.499848,0.000375,0.499832,0.50087,0.499008,0.000328,0.499848,0.000265,0.000182,0.500882,0.000589,0.501017,0.501932,0.499551,0.000839,0.500882,0.00049,0.000427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,lhnhm
8,0.499331,0.000441,0.499392,0.500156,0.498048,0.00055,0.499331,0.000357,0.000274,0.499944,0.000362,0.499943,0.50095,0.499117,0.000329,0.499944,0.000269,0.000153,0.375284,0.000594,0.375404,0.376381,0.373907,0.001015,0.375284,0.000515,0.000503,0.374927,0.000461,0.374946,0.375878,0.373983,0.00071,0.374928,0.000373,0.000367,0.499975,0.000434,0.499989,0.500967,0.498829,0.000496,0.499976,0.000323,0.00026,0.500657,0.000549,0.50069,0.502401,0.499378,0.000511,0.500657,0.000396,0.000274,0.37481,0.000383,0.374802,0.375764,0.373932,0.000459,0.37481,0.000301,0.000229,0.499942,0.000365,0.499974,0.500662,0.499105,0.000443,0.499942,0.000293,0.000228,0.500893,0.000536,0.500908,0.502175,0.499793,0.000688,0.500893,0.000427,0.000382,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,njdhjd
8,0.499443,0.000431,0.499529,0.50043,0.498476,0.000473,0.499443,0.00034,0.000259,0.500021,0.00039,0.500034,0.500767,0.499148,0.000588,0.500021,0.000323,0.000305,0.375209,0.000662,0.375205,0.376809,0.373999,0.001107,0.37521,0.00056,0.00055,0.374788,0.000415,0.374778,0.375878,0.373832,0.000504,0.374788,0.00033,0.000274,0.500001,0.000359,0.500004,0.500753,0.499165,0.000496,0.500001,0.000302,0.000259,0.500486,0.000599,0.500401,0.502004,0.499224,0.000703,0.500487,0.000476,0.000351,0.374762,0.000388,0.374756,0.375429,0.373994,0.00055,0.374762,0.000322,0.000291,0.500012,0.00025,0.49999,0.500601,0.499196,0.000268,0.500012,0.000183,0.000122,0.500746,0.000538,0.500755,0.501839,0.499824,0.000809,0.500747,0.000445,0.000412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,njdhjd
8,0.499394,0.000421,0.499438,0.500858,0.498629,0.000435,0.499395,0.000326,0.00029,0.500016,0.000361,0.500019,0.500828,0.499454,0.000642,0.500016,0.00031,0.00032,0.375243,0.00074,0.375221,0.377054,0.373449,0.00087,0.375244,0.000566,0.000412,0.374875,0.000374,0.374839,0.375663,0.374136,0.000596,0.374875,0.000314,0.000305,0.500071,0.000423,0.500111,0.500906,0.499103,0.000626,0.500071,0.00036,0.000321,0.500494,0.000458,0.500492,0.501485,0.499408,0.000588,0.500494,0.000375,0.000351,0.37489,0.000437,0.374848,0.375856,0.373963,0.000625,0.374891,0.000359,0.000305,0.499983,0.000422,0.499959,0.500662,0.498982,0.000672,0.499983,0.000356,0.000366,0.500844,0.00071,0.500878,0.502205,0.499182,0.000856,0.500845,0.000568,0.000428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,njdhjd
8,0.499312,0.000423,0.499224,0.500064,0.498537,0.000649,0.499312,0.000364,0.00032,0.500036,0.000414,0.500019,0.500767,0.499057,0.000565,0.500036,0.000342,0.00026,0.375236,0.000545,0.37519,0.376443,0.374029,0.000732,0.375236,0.000442,0.000381,0.374793,0.000393,0.374809,0.37551,0.373832,0.000534,0.374793,0.000321,0.000274,0.500071,0.000379,0.500157,0.500936,0.499226,0.000534,0.500071,0.000304,0.000214,0.500548,0.00058,0.500629,0.501698,0.499347,0.000772,0.500549,0.000484,0.000412,0.374869,0.000455,0.374756,0.376131,0.373932,0.000625,0.37487,0.000373,0.000337,0.499858,0.00034,0.499807,0.50057,0.499135,0.000458,0.499858,0.000275,0.000214,0.500853,0.000546,0.50077,0.50242,0.499824,0.000565,0.500853,0.000402,0.000274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,njdhjd
